GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pokedex,org.example.pokedex,PokedexApplication,5,3,0,0,2,1,1,1,1,1
pokedex,org.example.pokedex.model,Pokemon,0,31,0,0,0,6,0,9,0,9
pokedex,org.example.pokedex.service,TranslationService,0,41,0,0,0,11,0,3,0,3
pokedex,org.example.pokedex.service,PokemonService,8,109,4,6,3,22,4,4,0,3
pokedex,org.example.pokedex.configs,ExternalApiException,7,0,0,0,4,0,2,0,2,0
pokedex,org.example.pokedex.configs,Beans,0,6,0,0,0,2,0,2,0,2
pokedex,org.example.pokedex.controller,PokemonController,0,13,0,0,0,3,0,3,0,3
pokedex,org.example.pokedex.model.raw,Version,29,0,0,0,6,0,7,0,7,0
pokedex,org.example.pokedex.model.raw,GrowthRate,17,0,0,0,4,0,5,0,5,0
pokedex,org.example.pokedex.model.raw,Habitat,17,0,0,0,4,0,5,0,5,0
pokedex,org.example.pokedex.model.raw,Generation,17,0,0,0,4,0,5,0,5,0
pokedex,org.example.pokedex.model.raw,Evolution_chain,10,0,0,0,3,0,3,0,3,0
pokedex,org.example.pokedex.model.raw,Language,3,0,0,0,1,0,1,0,1,0
pokedex,org.example.pokedex.model.raw,Shape,17,0,0,0,4,0,5,0,5,0
pokedex,org.example.pokedex.model.raw,Color,3,0,0,0,1,0,1,0,1,0
pokedex,org.example.pokedex.model.raw,FlavorTextEntry,8,0,0,0,2,0,1,0,1,0
pokedex,org.example.pokedex.model.yoda,TranslationRequest.TranslationRequestBuilder,4,14,0,0,0,1,1,3,1,3
pokedex,org.example.pokedex.model.yoda,TranslationRequest,4,13,0,0,1,2,1,3,1,3
pokedex,org.example.pokedex.model.yoda,TranslationResponse,16,14,0,0,3,3,3,4,3,4
pokedex,org.example.pokedex.model.yoda,TranslationResponse.TranslationResponseBuilder,27,0,0,0,1,0,5,0,5,0
pokedex,org.example.pokedex.model.yoda,Contents,6,18,0,0,2,3,2,5,2,5
pokedex,org.example.pokedex.model.yoda,Success,3,7,0,0,1,2,1,2,1,2
